,Hotel_Address,Average_Score,Hotel_Name,Negative_Review,Positive_Review,Reviewer_Score,Tags,lat,lng,Review_Date
476205,Via Galileo Galilei 2 Central Station 20124 Milan Italy,8.5,Windsor Hotel Milano, I did lose my blouse in the room it could have been taken away with hotel linen but it was not found in the end , good location near the tube station and central station also next to savoi hotel where you can have good meal in a luxurious atmosphere ,8.8,"[' Leisure trip ', ' Family with young children ', ' Executive Twin Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",45.47945870000001,9.1951427,2017-07-28
476640,Via Gerolamo Cardano 1 Central Station 20124 Milan Italy,8.2,Four Points Sheraton Milan Center, Minor issues only as 1 out of 5 rooms were not ready till after 5pm A bit longer than expected walk to train station A pool would make it perfect 10 for us as we had 7 kids in our party , Comfortable and clean rooms easy check in and out great breakfast spread courteous and friendly staff Additional bed at no cost for 1 child per room Great recommendation to a close by Italian restaurant that ended up being highlight of our entire trip ,9.6,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",45.4851889,9.198015,2017-07-31
476776,Via Ges 6 8 Milan City Center 20121 Milan Italy,9.1,Four Seasons Hotel Milano, As soon as I arrived my room I saw a welcome letter My title on the welcome letter was written to me by the manager was MR But I am a woman My title was already given during reservation as MISS It was annoying for me There was second envelope on the table in my room that was kind of invitation letter by spa It was sent to another client another name was written on I it was a bit ackward I haven t received the invoice after I checked out I am still waiting for it The night before I checked out the concierge confirmed that I will have a mercedes with a driver like at 200 cost to take me to Malpensa airport The morning that I was flying the concierge called my room saying I am sorry the car is not available what about Mercedes S class cost like 300 I said no thank you I asked for a taxi They arranged a Mercedes taxi The driver asked me to pay 110 at the airport I said to him I know you can charge only 90 He said his car is a Mercedes Vito taxi and price is 110 We ended up 100 It was also a bit strange It is not interesting to see a metal roof down when you open the windows in your room That s all Thank you , Location is excellent The hotel is located in the heart of Milan ,8.8,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",45.469339,9.195108,2017-03-27
476820,Via Giacomo Watt 13 Famagosta 20143 Milan Italy,7.6,IH Hotels Milano Watt 13,No Negative, I recently booked this accommodation for a group of 11 on a stag do It s about 30 euros from the airport Linate by cab and a fifteen minute walk from the nearest Metro Romolo or the canal area at Navigli which is a beautiful area for meals and drinks A train in to the city centre is around 15 minutes and under 2 euros The staff were superb in particular the female receptionist and Andrea the room division manager They couldn t have been more accommodating of us ,9.6,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",45.443791,9.152947,2017-07-26
477006,Via Gian Battista Pirelli 20 Central Station 20124 Milan Italy,8.7,LaGare Hotel Milano Centrale MGallery by Sofitel, The lifts are an issue long wait one lift doesn t seem to collect just drives up to floor 13 leaving one lift operational returning guests and still hasn t improved Chipped glasses in breakfast dining room a lot in fact staff just responded we know oh dear , Excellent location wonderful roof terrace for drinks rooms very nice and staff courteous Room service speedy and reception staff for visitor questions helpful ,10.0,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",45.484237,9.198858,2017-01-08
477505,Via Giorgio Stephenson 55 20157 Milan Italy,8.1,Barcel Milan, The door to the toilet was not possibly to close which made it uncomfortable to use the toilet 4 stars hotel must have kettle and tea in the rooms but here they give a kettle on request after few calls to the reception , Modern design reasonable price a lot of parking lots around The bed was comfortable Breakfast was ok for Italy ,7.9,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",45.511520000000004,9.124130599999999,2017-07-31
477738,Via Giovanni Battista Fauch Sempione 20154 Milan Italy,8.5,UNA Hotel Scandinavia, Fairly priced so that s why we can t criticize what this hotel had to offer , Close to Expo 10 min walk Nicely furnished room bathroom a bit small for larger people but it was fine for us and had all the necessary amenities Good breakfast and last but not least very friendly staff Overall a nice hotel for business travelers ,9.6,"[' Business trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",45.48599829999999,9.1637603,2017-06-17
477806,Via Giovanni Nicotera 9 Niguarda 20161 Milan Italy,8.5,Acca Palace, Me and my friend each booked a room for his family I have 2 infants and my friend has one infant and 3 small kids When we arrived at the hotel we found out that both of us got exactly the same room which had queen size bed and a bed sofa He had to pay double my price only because they had put bed sheets on the bed sofa That was really unacceptable and we feel that we have been deceived , The hotel is very nice and their breakfast is excellent ,8.3,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 1 night ']",45.5099969,9.1739942,2017-02-08
478015,Via Hoepli 6 Milan City Center 20121 Milan Italy,8.2,Sina De La Ville, We were looking forward to using the pool but it was a big disappointment It s small and enclosed on the roof and it was really hot and muggy up there Breakfast was unremarkable , The location is fantastic ,6.7,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 1 night ']",45.465957,9.192297,2017-07-28
478288,Via L Muratori 14 Porta Romana 20135 Milan Italy,8.2,UNA Hotel Mediterraneo,No Negative, They allowed us an early check in And the property is only five minutes walk from Porta Romana metro station which goes directly to Duomo and Central Station ,7.9,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']",45.451873,9.20548,2017-01-08
478361,Via La Spezia 25 Famagosta 20142 Milan Italy,8.4,Hotel La Spezia Gruppo MiniHotel, Away from main attractions Finding a good restaurant in that area was difficult , The bed was comfortable Breakfast was good Staff was courteous and helpful ,6.7,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 2 nights ']",45.4408963,9.1728003,2017-07-14
478394,Via Laietana 17 Ciutat Vella 08003 Barcelona Spain,7.9,Exe Laietana Palace, THE ONE LADY IN BREAKFAST AREA WAS LIKE A MATRON AND SUSPICIOUS OF US TAKING FOOD CAUSE ON THE FIRST DAY I DID NOT KNOW I COULD NOT TAKE A MUFFIN WITH ME OUT OF BREAKFAST AREA THE MARBLE POLISHER DRILLER WAS A BIT OF AN IRRITATING ONE 2 DAYS WORKING OUTSIDE OUR DOOR THE TV HAD NO ENGLISH CHANNELS WORKING AND THE TECHNICIAN SENT WAS NOT KNOWING HIS JOB SO NEVER GOT TV TO WATCH ENGLISH BBC CNN NEWS OR SPORT, PROXIMITY CLEANLINESS VIBE PRIVACY,7.5,"[' Leisure trip ', ' Couple ', ' Double or Twin Room 1 2 Adults ', ' Stayed 9 nights ']",41.383354100000005,2.1794038,2017-07-31
478818,Via Laietana 30 Ciutat Vella 08003 Barcelona Spain,8.9,Grand Hotel Central, That we couldn t have stayed longer , This is our second stay at the Grand Hotel Central We enjoyed our stay the first time so much we were more than happy to return and stay a second time We love the location of the hotel It s very central to all the sites of Barcelona You are walking distance to the beach La Boqueria Food Market the Gothic area El born etc The price of the hotel is worth it for the location The room is very clean comfortable and modern The staff are extremely helpful and professional We were pleasantly surprised when we received an upgrade to a larger room even during high season Highly recommended ,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']",41.384969500000004,2.1776631,2017-01-08
479116,Via Laietana 42 Ciutat Vella 08003 Barcelona Spain,7.1,Ilunion Almirante, The hotel was kinda ugly Although the staff were very nice they were a little unhelpful E g they didn t order me a taxi they said they could provide a wheel away bed and couldn t I booked a room with 2 single beds but when I arrived they only had a room with a double bed There was also a very large cockroach in our room , The location was perfect and the free water was great ,6.3,"[' Group ', ' Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",41.3860521,2.176157,2017-02-08
479380,Via Laietana 49 Ciutat Vella 08003 Barcelona Spain,9.0,Ohla Barcelona, Probably gave us the worst room in the house 103 which was facing the street Not sure if it was because we were only staying for one night Loud traffic could be heard from the room which resulted in general annoyance and a lack of sleep Room also didn t have great hallway sound proofing and given this is near the gym facilities you can hear people talking and walking in and out Room layout also wasn t great the shower is a glass box facing the bed While this might seem perfect from a voyeur perspective this isn t practical if one person is trying to sleep and the other has lights on in the bathroom Not sure if all the rooms are like this Highly suggest if you get room 103 to change Very impersonal staff compared to other hotels we stayed at on our trip we stayed at many ranging from boutique to 4 5 star , Really central location close to all the major shopping and sightseeing Good breakfast selection Concierge gave us a nice recommendation for place to eat although it wasn t really authentic tapas food suggested which we had wanted and a more modern version Great views from the rooftop and nice pool ,7.1,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room 1 2 Adults ', ' Stayed 1 night ']",41.3870479,2.1743360000000003,2017-02-08
